Alvarez, OF, 87, 313, 58, 98, 26, 0, 27, 78, 94, 0.313, 0.655, 
Bregman, 3B, 156, 554, 122, 164, 37, 2, 41, 112, 83, 0.296, 0.592, 
Springer, RF, 122, 479, 96, 140, 20, 3, 39, 96, 113, 0.292, 0.500, 
Correa, SS, 75, 280, 42, 78, 16, 1, 21, 59, 75, 0.279, 0.568, 
Altuve, 2B, 124, 500, 89, 149, 27, 3, 31, 74, 82, 0.298, 0.550, 
Gurriel, 1B, 144, 564, 85, 168, 40, 2, 31, 104, 65, 0.298, 0.541, 
Brantley, LF, 148, 575, 88, 179, 40, 2, 22, 90, 66, 0.311, 0.503, 
Tucker, RF, 22, 67, 15, 18, 6, 0, 4, 11, 20, 0.269, 0.537, 
Diaz, 2B, 69, 210, 36, 57, 12, 1, 9, 40, 28, 0.271, 0.467, 
Chirinos, C, 114, 366, 57, 87, 22, 1, 17, 58, 125, 0.238, 0.443, 
Maldonado, C, 27, 84, 20, 17, 4, 0, 6, 10, 26, 0.202, 0.464, 
Reddick, RF, 141, 501, 57, 138, 19, 3, 14, 56, 66, 0.275, 0.409, 
Kemp, CF, 66, 163, 23, 37, 6, 2, 7, 17, 29, 0.227, 0.417, 
Straw, CF, 56, 108, 27, 29, 4, 2, 0, 7, 24, 0.269, 0.343, 
Marisnick, CF, 120, 292, 46, 68, 16, 3, 10, 34, 95, 0.233, 0.411, 
Toro, 3B, 25, 78, 13, 17, 3, 2, 2, 9, 19, 0.218, 0.385, 
Fisher, RF, 17, 53, 9, 12, 2, 1, 1, 5, 14, 0.226, 0.358, 
White, 1B, 71, 218, 16, 49, 14, 0, 3, 21, 74, 0.225, 0.330, 
Stubbs, C, 19, 35, 8, 7, 3, 0, 0, 2, 7, 0.2, 0.286, 
Mayfield, 2B, 26, 64, 8, 10, 5, 0, 2, 5, 16, 0.156, 0.328, 
Stassi, C, 31, 90, 4, 15, 1, 0, 1, 3, 34, 0.167, 0.211, 
