Rendon, 3B, 146, 545, 117, 174, 44, 3, 34, 126, 86, 0.319, 0.598, 
Cabrera, 3B, 124, 24, 40, 10, 1, 6,	40, 18, 0.323, 0.565, 
Kendrick, 3B, 121, 334, 61, 115, 23, 1, 17, 62, 49, 0.344, 0.572, 
Stevenson, LF, 30, 30, 4, 11, 1, 1, 0, 0, 11, 0.367, 0.467, 
Soto, LF, 150, 542, 110, 153, 32, 5, 34, 110, 132, 0.282, 0.548, 
Turner, SS, 122, 521, 96, 155, 37, 5, 19, 57, 113, 0.298, 0.497, 
Suzuki, C, 85, 280, 37, 74, 11, 0, 17, 63, 36, 0.264, 0.486, 
Eaton, RF, 151, 566, 103, 158, 25, 7, 15, 49, 106, 0.279, 0.428, 
Dozier, 2B, 135, 416, 54, 99, 20, 0, 20, 50, 105, 0.238, 0.43, 
Parra, LF, 89, 188, 30, 47, 11, 1, 8, 42, 41, 0.25, 0.447, 
Robles, CF, 155, 546, 86, 139, 33, 3, 17, 65, 140, 0.255, 0.419, 
Adams, 1B, 111, 310, 42, 70, 14, 0, 20, 56, 115, 0.226, 0.465, 
Zimmerman, 1B, 52, 171, 20, 44, 9, 0, 6, 27, 39, 0.257, 0.415, 
Gomes, C, 97, 314, 36, 70, 16, 0, 12, 43, 84, 0.223, 0.389, 
Taylor, CF, 53, 88, 10, 22, 7, 0, 1, 3, 34, 0.25, 0.364, 
Difo, 2B, 43, 131, 15, 33, 2, 0, 2, 8, 29, 0.252, 0.313, 
Kieboom, SS, 11, 39, 4, 5, 0, 0, 2, 2, 16, 0.128, 0.282, 
Sanchez, SS, 28, 31, 3, 7, 0, 0, 0, 1, 10, 0.226, 0.226, 
Strasburg, P, 33, 72, 4, 12, 1, 0, 1, 10, 25, 0.167, 0.222, 
Scherzer, P, 28, 55, 6, 10, 0, 0, 0, 2, 27, 0.182, 0.182, 
Corbin, P, 31, 65, 3, 6, 1, 0, 0, 4, 27, 0.092, 0.108, 
Sanchez, P, 27, 52, 1, 6, 0, 0, 0, 1, 24, 0.115, 0.115, 
